CAPABILITY_ID|STATE_CLASS|CURRENT_STATE|FORMAL_CLOSURE_CREDIT|PLANNING_PACKAGE_ID
CAP-CLOSED-I5A|CLOSED_FORMAL|FORMALLY_CLOSED|16.66666667|HISTORICAL_I5A
CAP-CLOSED-I5B-4OF13|CLOSED_FORMAL|FORMALLY_CLOSED|5.12820512|HISTORICAL_I5B_PARTIAL
CAP-OPEN-01|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W2-P03
CAP-OPEN-02|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W1-P01
CAP-OPEN-03|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W1-P01
CAP-OPEN-04|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W1-P01
CAP-OPEN-05|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W3-P01
CAP-OPEN-06|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W3-P01
CAP-OPEN-07|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W1-P02
CAP-OPEN-08|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W1-P02
CAP-OPEN-09|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W1-P02
CAP-OPEN-10|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W2-P01
CAP-OPEN-11|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W2-P01
CAP-OPEN-12|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W2-P02
CAP-OPEN-13|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W2-P02
CAP-OPEN-14|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_AND_OPERATIONAL_CLOSED_AWAITING_§164.2_FRACTION_MAPPING|0.00000000|I5-IMPL-W3-P02
CAP-OPEN-15|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W4-P01
CAP-OPEN-16|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W4-P01
CAP-OPEN-17|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W4-P01
CAP-OPEN-18|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W4-P02
CAP-OPEN-19|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W4-P02
CAP-OPEN-20|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W3-P01
CAP-OPEN-21|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W3-P01
CAP-OPEN-22|NOT_FORMALLY_CREDITABLE_YET|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W3-P01
CAP-OPEN-23|STILL_REQUIRED_V1|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W5-P01
CAP-OPEN-24|STILL_REQUIRED_V1|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W5-P01
CAP-OPEN-25|STILL_REQUIRED_V1|TECHNICAL_RUNTIME_CLOSED_AWAITING_§164.2_VALIDATION|0.00000000|I5-IMPL-W5-P01
CAP-OPEN-26|STILL_REQUIRED_V1|PARTIAL_SCHEDULER_ACTIVE_MONITORING_FORMAL_DOMAIN_OPEN|0.00000000|I5-IMPL-W6-P03
CAP-OPEN-27|STILL_REQUIRED_V1|PARTIAL_MIGRATION_DEPLOY_ACTIVATION_DONE_TEST_PROOF_CARRY_FORWARD|0.00000000|I5-IMPL-W6-P02
CAP-OPEN-28|DEFERRED_WITH_EXPLICIT_AUTHORITY|NOT_STARTED|0.00000000|I5-IMPL-W6-P01
